cycle_index,discharge_capacity_Ah,discharge_capacity_norm,source_file,cell_index
1,1.1000807,1.0,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
2,1.1020051,1.0017493262085226,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
3,1.102657,1.00234191909739,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
4,1.1040769,1.0036326425870392,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
5,1.1039258,1.0034952890274325,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
6,1.1043959,1.0039226213131456,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
7,1.105153,1.0046108435499324,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
8,1.1044422,1.003964709134521,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
9,1.1046798,1.004180693289138,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
10,1.1037184,1.0033067574042522,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
11,1.1052283,1.004679293073681,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
12,1.1062659,1.0056224966041127,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
13,1.1060829,1.0054561451718953,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
14,1.1041813,1.0037275447155833,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
15,1.1038018,1.0033825700241812,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
16,1.1056149,1.0050307218370436,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
17,1.1054384,1.0048702790622543,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
18,1.105719,1.0051253512583214,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
19,1.1073115,1.006572972328303,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
20,1.1063375,1.0056875827382483,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
21,1.1059513,1.0053365175845737,2018-02-20_batchdata_updated_struct_errorcorrect.mat,0
