name,type,value,note
battery.capacity,item,4000,
cpu.clusters.cores,array,6|1|1,len=3
cpu.suspend,item,5.6,
cpu.idle,item,5.4,
cpu.active,item,8.4,
cpu.cluster_power.cluster0,item,2,
cpu.cluster_power.cluster1,item,2.2,
cpu.cluster_power.cluster2,item,2.6,
cpu.core_speeds.cluster0,array,300000|576000|614400|864000|1075200|1363200|1516800|1651200|1804800,len=9
cpu.core_speeds.cluster1,array,652800|940800|1152000|1478400|1728000|1900800|2092800|2208000,len=8
cpu.core_speeds.cluster2,array,806400|1094400|1401600|1766400|1996800|2188800|2304000|2400000,len=8
cpu.core_power.cluster0,array,41.92|59.59|61.93|79.86|95.92|121.97|140.72|159.18|176.19,len=9
cpu.core_power.cluster1,array,32.13|35.98|40.03|51.02|77.06|86.25|97.30|101.61,len=8
cpu.core_power.cluster2,array,56.44|65.72|77.01|104.91|112.35|118.53|122.34|135.00,len=8
ambient.on,item,32,
screen.on,item,98,
screen.full,item,470,
camera.flashlight,item,240.47,
camera.avg,item,900,
video,item,25,
audio,item,75,
modem.controller.sleep,item,0,
modem.controller.idle,item,156,
modem.controller.rx,item,145,
modem.controller.tx,array,153|212|292|359|471,len=5
modem.controller.voltage,item,3700,
gps.signalqualitybased,array,28|5,len=2
gps.voltage,item,3700,
wifi.controller.idle,item,79,
wifi.controller.rx,item,118,
wifi.controller.tx,item,331,
wifi.controller.voltage,item,3700,
bluetooth.controller.idle,item,0.01,
bluetooth.controller.rx,item,9,
bluetooth.controller.tx,item,7,
bluetooth.controller.voltage,item,3300,
