t_s,soc_percent,voltage_mV,temp_dC,plug,status
0.006,100,,,,
0.356,100,,,,
0.706,100,,,,
0.778,100,,,,
0.851,100,,,,
1.399,100,,,,
1.677,100,,,,
1.955,100,,,,
2.027,100,,,,
2.222,100,,,,
2.418,100,,,,
2.622,100,,,,
2.791,100,,,,
2.994,100,,,,
3.449,100,,,,
3.904,100,,,,
4.401,100,,,,
4.682,100,,,,
5.21,100,,,,
5.747,100,,,,
6.205,100,,,,
6.8,100,,,,
7.769,100,,,,
8.533,100,,,,
9.499,100,,,,
9.965,100,,,,
10.814,100,,,,
11.262,100,,,,
12.236,100,,,,
72.889,100,,,,
133.011,100,,,,
193.455,100,,,,
254.419,100,,,,
315.185,100,,,,
435.522,100,,,,
556.353,100,,,,
736.583,100,,,,
917.308,100,,,,
1098.304,100,,,,
1278.459,100,,,,
1459.088,100,,,,
1639.918,100,,,,
1820.766,100,,,,
2061.096,100,,,,
2361.831,100,,,,
2662.046,100,,,,
2962.957,100,,,,
3263.341,100,,,,
3564.253,100,,,,
3864.632,100,,,,
4225.521,100,,,,
4585.899,100,,,,
5006.575,100,,,,
5426.737,100,,,,
5847.085,100,,,,
6267.668,100,,,,
6687.725,100,,,,
7108.176,100,,,,
7529.071,100,,,,
8009.388,100,,,,
8490.182,100,,,,
9030.698,99,4131.0,260.0,,
9571.233,99,4131.0,260.0,,
10111.413,99,4131.0,260.0,,
10652.077,99,4131.0,260.0,,
11192.205,99,4131.0,260.0,,
11732.81,99,4131.0,260.0,,
12273.78,99,4131.0,260.0,,
12814.229,99,4131.0,260.0,,
13415.113,99,4131.0,260.0,,
14015.454,99,4131.0,260.0,,
14615.982,99,4131.0,260.0,,
15276.107,99,4131.0,260.0,,
15936.589,99,4131.0,260.0,,
16597.135,99,4096.0,260.0,,
17257.833,99,4096.0,260.0,,
17918.518,99,4096.0,260.0,,
18579.22,99,4096.0,260.0,,
19239.972,99,4096.0,260.0,,
19900.057,99,4096.0,260.0,,
20560.174,99,4096.0,260.0,,
21220.294,99,4096.0,260.0,,
21880.564,99,4096.0,260.0,,
22541.314,99,4096.0,260.0,,
23201.488,99,4096.0,260.0,,
23861.669,99,4096.0,260.0,,
24522.214,99,4096.0,260.0,,
25182.4,99,4096.0,260.0,,
25842.7,99,4096.0,260.0,,
26503.009,99,4096.0,260.0,,
27163.924,99,4096.0,260.0,,
27824.074,99,4096.0,260.0,,
28484.166,99,4096.0,260.0,,
29204.337,99,4096.0,260.0,,
29924.537,99,4096.0,260.0,,
30644.762,99,4096.0,260.0,,
31365.031,99,4096.0,260.0,,
32085.518,99,4096.0,260.0,,
32805.694,99,4096.0,260.0,,
33525.953,99,4096.0,260.0,,
34246.222,99,4096.0,260.0,,
34966.898,99,4096.0,260.0,,
35747.071,99,4096.0,260.0,,
36527.348,99,4096.0,260.0,,
37307.751,99,4096.0,260.0,,
38088.171,99,4096.0,260.0,,
38988.337,99,4096.0,260.0,,
39888.571,99,4096.0,260.0,,
40789.155,99,4096.0,260.0,,
41689.748,99,4096.0,260.0,,
42590.683,99,4096.0,260.0,,
43490.858,99,4096.0,260.0,,
44391.079,99,4096.0,260.0,,
45291.7,99,4096.0,260.0,,
46191.873,99,4096.0,260.0,,
47092.094,99,4096.0,260.0,,
47992.331,99,4176.0,250.0,,
48893.162,99,4176.0,250.0,,
49794.005,99,4176.0,250.0,,
50694.59,99,4176.0,250.0,,
51595.149,99,4176.0,250.0,,
52495.376,99,4176.0,250.0,,
53396.075,99,4176.0,250.0,,
54296.096,99,4176.0,250.0,,
55196.292,99,4176.0,250.0,,
56096.711,99,4176.0,250.0,,
56996.964,99,4176.0,250.0,,
57897.599,99,4176.0,250.0,,
58857.756,99,4176.0,250.0,,
59818.304,99,4176.0,250.0,,
60778.566,99,4176.0,250.0,,
61739.221,99,4176.0,250.0,,
62700.065,99,4176.0,250.0,,
63660.862,99,4176.0,250.0,,
64621.077,99,4176.0,250.0,,
65581.367,99,4176.0,250.0,,
66542.035,99,4176.0,250.0,,
67502.139,99,4176.0,250.0,,
68462.636,99,4176.0,250.0,,
69422.945,99,4176.0,250.0,,
70383.646,99,4176.0,250.0,,
71403.98,99,4176.0,250.0,,
72424.718,99,4176.0,250.0,,
73444.79,99,4176.0,250.0,,
74465.264,99,4176.0,250.0,,
75485.616,99,4176.0,250.0,,
76506.376,99,4176.0,250.0,,
77526.756,99,4176.0,250.0,,
78547.535,99,4176.0,250.0,,
79567.664,99,4176.0,250.0,,
80588.195,99,4176.0,250.0,,
81608.278,99,4176.0,250.0,,
82688.757,99,4176.0,250.0,,
83769.655,99,4176.0,250.0,,
84849.946,99,4176.0,250.0,,
85930.364,99,4176.0,250.0,,
87011.155,99,4176.0,250.0,,
88092.067,99,4176.0,250.0,,
89172.369,99,4176.0,250.0,,
90252.814,99,4176.0,250.0,,
91333.633,99,4176.0,250.0,,
92414.103,99,4176.0,250.0,,
93494.966,99,4176.0,250.0,,
94635.47,99,4176.0,250.0,,
95776.369,99,4176.0,250.0,,
96916.891,99,4176.0,250.0,,
98057.432,99,4060.0,240.0,,
99198.344,99,4060.0,240.0,,
100338.893,99,4060.0,240.0,,
101479.827,99,4060.0,240.0,,
102620.137,99,4060.0,240.0,,
103760.864,99,4060.0,240.0,,
104900.969,99,4060.0,240.0,,
106101.474,99,4060.0,240.0,,
107302.042,99,4060.0,240.0,,
108502.998,99,4060.0,240.0,,
109703.208,99,4060.0,240.0,,
110903.798,99,4060.0,240.0,,
112104.384,99,4060.0,240.0,,
113304.599,98,4060.0,240.0,,
114504.817,98,4060.0,240.0,,
115705.144,98,4060.0,240.0,,
116905.872,98,4060.0,240.0,,
118106.472,98,4060.0,240.0,,
119307.466,98,4060.0,240.0,,
120508.092,98,4060.0,240.0,,
121768.121,98,4060.0,240.0,,
123028.387,98,4060.0,240.0,,
124288.896,98,4060.0,240.0,,
125549.542,98,4060.0,240.0,,
126809.582,98,4060.0,240.0,,
128070.26,98,4060.0,240.0,,
129330.346,98,4060.0,240.0,,
130591.045,98,4060.0,240.0,,
131851.154,98,4060.0,240.0,,
133111.646,98,4060.0,240.0,,
134432.531,98,4060.0,240.0,,
135753.262,98,4060.0,240.0,,
137073.392,98,4060.0,240.0,,
138393.607,98,4060.0,240.0,,
139714.085,98,4060.0,240.0,,
141034.968,98,4060.0,240.0,,
142355.735,98,4060.0,240.0,,
143675.898,98,4060.0,240.0,,
144995.991,98,4060.0,240.0,,
146316.488,98,4060.0,240.0,,
147637.268,98,4060.0,240.0,,
148957.441,98,4060.0,240.0,,
150338.25,98,4060.0,240.0,,
151718.454,98,4060.0,240.0,,
153098.548,98,4060.0,240.0,,
154479.055,98,4060.0,240.0,,
155859.873,98,4060.0,240.0,,
157240.095,98,4060.0,240.0,,
158620.937,98,4060.0,240.0,,
160001.169,98,4060.0,240.0,,
161381.6,98,4060.0,240.0,,
162762.413,98,4060.0,240.0,,
164143.262,98,4060.0,240.0,,
165583.519,98,4060.0,240.0,,
167023.682,98,4060.0,240.0,,
168464.249,98,4060.0,240.0,,
169905.095,98,4060.0,240.0,,
171345.355,98,4060.0,240.0,,
172785.536,98,4060.0,240.0,,
174225.829,98,4060.0,240.0,,
175666.255,98,4060.0,240.0,,
177106.788,98,4060.0,240.0,,
178547.344,98,4060.0,240.0,,
179987.545,98,4060.0,240.0,,
181427.943,98,4060.0,240.0,,
182868.795,98,4060.0,240.0,,
184309.509,98,4060.0,240.0,,
185750.236,98,4060.0,240.0,,
187190.648,98,4060.0,240.0,,
188631.542,98,4060.0,240.0,,
190072.434,98,4060.0,240.0,,
191512.798,98,4060.0,240.0,,
193013.594,98,4060.0,240.0,,
194514.386,98,4060.0,240.0,,
196015.303,98,4060.0,240.0,,
197515.696,98,4060.0,240.0,,
199016.31,98,4060.0,240.0,,
200516.515,98,4060.0,240.0,,
202017.31,98,4060.0,240.0,,
203518.251,98,4060.0,240.0,,
205018.666,98,4060.0,240.0,,
206519.253,98,4060.0,240.0,,
208019.809,98,4060.0,240.0,,
209520.609,98,4060.0,240.0,,
211021.064,98,4060.0,240.0,,
212521.167,98,4060.0,240.0,,
214081.74,98,4060.0,240.0,,
215641.877,97,4060.0,240.0,,
217202.017,97,4060.0,240.0,,
218762.987,97,4060.0,240.0,,
220323.441,97,4060.0,240.0,,
221883.856,97,4060.0,240.0,,
223444.755,97,4060.0,240.0,,
225005.552,97,4060.0,240.0,,
226566.535,97,4060.0,240.0,,
228126.982,97,4060.0,240.0,,
229687.786,97,4060.0,240.0,,
231248.389,97,4060.0,240.0,,
232808.474,97,4060.0,240.0,,
234368.798,97,4060.0,240.0,,
235929.159,97,4060.0,240.0,,
237489.538,97,4060.0,240.0,,
239050.39,97,4060.0,240.0,,
240610.532,97,4060.0,240.0,,
242171.433,97,4060.0,240.0,,
243791.446,97,4060.0,240.0,,
245411.961,97,4060.0,240.0,,
247032.488,97,4060.0,240.0,,
248652.789,97,4060.0,240.0,,
250273.587,97,4060.0,240.0,,
251894.416,97,4060.0,240.0,,
253514.745,97,4060.0,240.0,,
255135.555,97,4060.0,240.0,,
256755.631,97,4060.0,240.0,,
258376.18,97,4060.0,240.0,,
259996.98,97,4060.0,240.0,,
261617.065,97,4060.0,240.0,,
263237.631,97,4060.0,240.0,,
264918.429,97,4060.0,240.0,,
266598.555,97,4060.0,240.0,,
268279.158,97,4060.0,240.0,,
269959.451,97,4060.0,240.0,,
271639.776,97,4060.0,240.0,,
273320.394,97,4060.0,240.0,,
275001.186,97,4060.0,240.0,,
276681.333,97,4060.0,240.0,,
278361.955,97,4060.0,240.0,,
280042.767,97,4060.0,240.0,,
281722.831,97,4060.0,240.0,,
283403.396,97,4060.0,240.0,,
285083.911,97,4060.0,240.0,,
286764.2,97,4060.0,240.0,,
288444.364,97,4060.0,240.0,,
290125.026,97,4060.0,240.0,,
291805.833,97,4060.0,240.0,,
293546.484,97,4060.0,240.0,,
295286.62,97,4060.0,240.0,,
297026.824,97,4060.0,240.0,,
298767.499,97,4060.0,240.0,,
300508.288,97,4060.0,240.0,,
302248.379,97,4060.0,240.0,,
303988.91,97,4060.0,240.0,,
305729.71,97,4060.0,240.0,,
307470.419,97,4060.0,240.0,,
309210.675,97,4060.0,240.0,,
310951.401,97,4060.0,240.0,,
312691.499,97,4060.0,240.0,,
314492.059,97,4060.0,240.0,,
316292.386,97,4060.0,240.0,,
318093.185,97,4060.0,240.0,,
319893.52,97,4060.0,240.0,,
321693.813,97,4060.0,240.0,,
323494.54,97,4060.0,240.0,,
325295.377,97,4060.0,240.0,,
327095.678,97,4060.0,240.0,,
328896.479,97,4060.0,240.0,,
330696.787,97,4060.0,240.0,,
332497.571,97,4060.0,240.0,,
334297.999,97,4060.0,240.0,,
336098.796,97,4060.0,240.0,,
337899.396,97,4060.0,240.0,,
339699.489,97,4060.0,240.0,,
341499.792,97,4060.0,240.0,,
343300.606,97,4060.0,240.0,,
345161.422,97,4060.0,240.0,,
347021.937,97,4060.0,240.0,,
348882.93,97,4060.0,240.0,,
350743.383,97,4060.0,240.0,,
352603.736,97,4060.0,240.0,,
354464.638,97,4060.0,240.0,,
356325.013,97,4060.0,240.0,,
358185.832,97,4060.0,240.0,,
360045.89,96,4060.0,250.0,,
361905.951,96,4060.0,250.0,,
363766.36,96,4060.0,250.0,,
365627.245,96,4060.0,250.0,,
367487.548,96,4060.0,250.0,,
369348.334,96,4060.0,250.0,,
371268.762,96,4060.0,250.0,,
373189.644,96,4060.0,250.0,,
375110.093,96,4060.0,250.0,,
377030.895,96,4060.0,250.0,,
378951.419,96,4060.0,250.0,,
380872.326,96,4060.0,250.0,,
382793.233,96,4060.0,250.0,,
384713.253,96,4060.0,250.0,,
386633.28,96,4060.0,250.0,,
388553.775,96,4060.0,250.0,,
